game_id,date_start,type,table,num,scoring_version,judge,winner_code,first_killed,best_player,our_player_count,our_players,table_players,source_url,error
601354,2026-07-12 09:19:55,match,6,13,3.0,Скорпионша ,1,101765,ФДМ,2,ФДМ; Алёна,Инкогнито; Айра.; Nevesta; Rikso; комик; Mr.Elvin; ФДМ; Незабудочная; Alena78; KAA,https://polemicagame.com/match/601354,
601353,2026-07-12 09:20:53,match,2,10,3.0,Leap,1,73972,Kilaaahhhh,1,Секрет,Vibe; WELSH; Kilaaahhhh; KAA; Рус; Рэндом; Nevesta; Секрет-; JTH; ВреднаЯ,https://polemicagame.com/match/601353,
601357,2026-07-12 09:34:47,match,6,16,3.0,Скорпионша ,0,60797,StronGlav,1,Алёна,StronGlav; Парадокс2727; Django; Ллирик; moonlight from spb; Кcю; Talisman; Alena78; Mr.Elvin; Sol invictus,https://polemicagame.com/match/601357,
601362,2026-07-12 09:48:02,match,4,9,3.0,Кармин,1,2951,WELSH,2,Macarena; Elric,Elric; Пряник_virtuspro_19; г-н Sema; Киса; Nmeshka; WELSH; Птичка 23; Django; StronGlav; Macarena,https://polemicagame.com/match/601362,
601363,2026-07-12 09:57:12,match,5,7,3.0,azalea,0,749,дьябло,3,ФДМ; Story; Д. Колбасенко,Kaiser; Story; ФДМ; Данил_Колбасенко; дьябло; Зазеркалье; moonlight from spb; Кирюшкинс; Рус; Talisman,https://polemicagame.com/match/601363,
601365,2026-07-12 09:59:59,match,3,9,3.0,Accord,1,596,Пиджак,2,Axeon; Д. Колбасенко,Рус; Kaiser; Axeon; Данил_Колбасенко; Пиджак; Homych; WIMP; Размен; MadCat; Кирюшкинс,https://polemicagame.com/match/601365,
601366,2026-07-12 10:01:06,match,3,10,3.0,Accord,1,93046,Ластхиро,1,Ластхиро,Кcю; отче; StronGlav; Mr.Elvin; Оладуш; Птичка 23; Ластхиро; Парадокс2727; Nmeshka; Зазеркалье,https://polemicagame.com/match/601366,
601367,2026-07-12 10:02:17,match,3,11,3.0,Accord,1,34509,Krista,4,ФДМ; Лиса; Аномалия; Марипоса,Anомалия; Django; 23; Марипоса; Vibe; ФДМ; Krista; Sol invictus; Киса; Лисa,https://polemicagame.com/match/601367,
601372,2026-07-12 10:10:33,match,5,9,3.0,azalea,0,34509,Vibe,2,Story; Секрет,aveeeee; Секрет-; 4p0k; pevoon; Doc.; Незабудочная; KAA; Vibe; Оладуш; Story,https://polemicagame.com/match/601372,
601371,2026-07-12 10:11:37,match,3,14,3.0,Accord,1,69537,Рэндом,3,Macarena; Секрет; Марипоса,ВреднаЯ; Рэндом; Марипоса; Айра.; Секрет-; Инкогнито; pevoon; Macarena; Феодал; Mr.Elvin,https://polemicagame.com/match/601371,
601373,2026-07-12 10:13:05,match,5,10,3.0,azalea,1,128567,.Мышь.,1,ФДМ,Пряник_virtuspro_19; moonlight from spb; ФДМ; sokl; .Мышь.; Феодал; Лекc; Маэстро СПб; Defita; Доктор_Ливси,https://polemicagame.com/match/601373,
601374,2026-07-12 10:14:38,match,3,15,3.0,Accord,1,17360,moonlight from spb,3,ФДМ; Story; Д. Колбасенко,moonlight from spb; ФДМ; Рус; Kilaaahhhh; Незабудочная; Любезный; Данил_Колбасенко; механика; Story; Nmeshka,https://polemicagame.com/match/601374,
601376,2026-07-12 10:15:00,match,5,11,3.0,azalea,0,1316,Kaiser,2,Ластхиро; Д. Колбасенко,Сандра; Kaiser; Saint-P; Оладуш; Данил_Колбасенко; Ластхиро; aveeeee; Homych; Rikso; Stereo,https://polemicagame.com/match/601376,
601375,2026-07-12 10:15:52,match,3,16,3.0,Accord,1,14121,Вальхалла,2,Macarena; Axeon,Чеба; Macarena; Homych; Помидор; отче; Вальхалла; смажьте мясо маслом; Leap; JTH; Axeon,https://polemicagame.com/match/601375,
601379,2026-07-12 10:17:28,match,5,12,3.0,azalea,1,23794,Sol invictus,1,Алёна,Krista; Зазеркалье; MIRS; Птичка 23; Айра.; Alena78; Sol invictus; Том; 23; дьябло,https://polemicagame.com/match/601379,
601381,2026-07-12 10:19:01,match,5,13,3.0,azalea,1,72433,Django,1,Марипоса,Генрих; Talisman; .Мышь.; Country; Stereo; Марипоса; Homych; Пиджак; Катеринa; Django,https://polemicagame.com/match/601381,
601383,2026-07-12 10:21:19,match,5,14,3.0,azalea,0,1316,Kilaaahhhh,3,Story; Лиса; Аномалия,Kilaaahhhh; Story; Saint-P; г-н Sema; Anомалия; Сандра; Незабудочная; Лисa; Рус; JTH,https://polemicagame.com/match/601383,
601412,2026-07-12 10:38:55,match,5,15,3.0,azalea,1,71172,Маэстро СПб,1,Elric,WIMP; Elric; Маэстро СПб; Krista; Кcю; смажьте мясо маслом; дьябло; комик; Doc.; Nevesta,https://polemicagame.com/match/601412,
601413,2026-07-12 10:42:50,match,7,10,3.0,YungBull,1,3229,Alena78,2,Алёна; Марипоса,механика; pevoon; Размен; Ллирик; Alena78; Krista; комик; Том; Марипоса; WIMP,https://polemicagame.com/match/601413,
601417,2026-07-12 10:45:04,match,2,11,3.0,Leap,1,99882,Лекc,2,Алёна; Elric,дьябло; Незабудочная; Генрих; Пиджак; Катеринa; смажьте мясо маслом; Alena78; Elric; Лекc; Размен,https://polemicagame.com/match/601417,
601418,2026-07-12 10:46:17,match,2,12,3.0,Leap,1,76145,Любезный,2,Story; Марипоса,Марипоса; moonlight from spb; Любезный; Феодал; Story; Рэндом; Оладуш; Doc.; WELSH; Kaiser,https://polemicagame.com/match/601418,
601419,2026-07-12 10:47:18,match,2,13,3.0,Leap,1,1316,механика,2,Macarena; Аномалия,механика; sokl; Anомалия; Сандра; Demi; Saint-P; 23; Киса; Macarena; Парадокс2727,https://polemicagame.com/match/601419,
601420,2026-07-12 10:47:53,match,7,12,3.0,YungBull,1,72433,Кcю,2,Секрет; Аномалия,Кcю; Anомалия; Пиджак; Секрет-; Маэстро СПб; StronGlav; Киса; sokl; Кирюшкинс; Kilaaahhhh,https://polemicagame.com/match/601420,
